"","id","arena","n_trial","behaviour2","type","hp_presence","duration_test","duration","prop_duration"
"789","ledy14",4,1,"ef","NS","y",1201,82,0.0682764363030808
"790","ledy41",4,1,"ef","NS","y",1201,51,0.0424646128226478
"791","ledy57",4,1,"ef","NS","y",1201,82,0.0682764363030808
"792","leon01",1,2,"ef","NS","y",1201,224,0.186511240632806
"793","leon02",1,2,"ef","NS","y",1201,2,0.00166527893422148
"794","lehan04",2,2,"ef","NS","y",1201,6,0.00499583680266445
"795","ledo05",3,2,"ef","NS","y",1201,81,0.06744379683597
"796","ledy01",3,2,"ef","NS","y",1201,60,0.0499583680266445
"797","ledy15",3,2,"ef","NS","y",1201,62,0.0516236469608659
"798","ledy16",3,2,"ef","NS","y",1201,441,0.367194004995837
"799","lewa01",3,2,"ef","NS","y",1201,7,0.00582847626977519
"800","lewa02",3,2,"ef","NS","y",1201,56,0.0466278101582015
"801","lebe01",4,2,"ef","NS","y",1201,726,0.604496253122398
"802","ledy14",4,2,"ef","NS","y",1201,32,0.0266444629475437
"803","ledy41",4,2,"ef","NS","y",1201,32,0.0266444629475437
"804","lema02",4,2,"ef","NS","y",1201,63,0.0524562864279767
"805","ledy44",1,3,"ef","NS","y",1201,129,0.107410491257286
"806","ledy01",3,3,"ef","NS","y",1201,194,0.161532056619484
"807","ledy16",3,3,"ef","NS","y",1201,22,0.0183180682764363
"808","lebe01",4,3,"ef","NS","y",1201,386,0.321398834304746
"809","ledy09",4,3,"ef","NS","y",1201,48,0.0399666944213156
"810","ledy10",4,3,"ef","NS","y",1201,37,0.0308076602830974
"811","ledy41",4,3,"ef","NS","y",1201,4,0.00333055786844296
"812","ledy44",1,4,"ef","NS","y",1201,140,0.116569525395504
"813","ledy09",4,4,"ef","NS","y",1201,37,0.0308076602830974
"814","ledy10",4,4,"ef","NS","y",1201,119,0.0990840965861782
"815","ledy14",4,4,"ef","NS","y",1201,182,0.151540383014155
"816","ledy44",1,5,"ef","NS","y",1201,213,0.177352206494588
"817","ledy09",2,5,"ef","NS","y",1201,69,0.0574521232306411
"818","lebe01",4,5,"ef","NS","y",1201,341,0.283930058284763
"819","ledy14",4,5,"ef","NS","y",1201,55,0.0457951706910908
"820","ledy55",4,5,"ef","NS","y",1201,3,0.00249791840133222
"821","ledy14",2,5,"ef","NS","y",1201,41,0.0341382181515404
"822","ledy15",3,1,"fe","NS","y",1201,488,0.406328059950042
"823","ledy34",3,1,"fe","NS","y",1201,116,0.096586178184846
"824","ledy10",4,1,"fe","NS","y",1201,380,0.316402997502082
"825","ledy19",4,1,"fe","NS","y",1201,190,0.158201498751041
"826","levir02",4,1,"fe","NS","y",1201,498,0.414654454621149
"827","ledy15",3,2,"fe","NS","y",1201,278,0.231473771856786
"828","ledo1",4,2,"fe","NS","y",1201,612,0.509575353871774
"829","ledy44",1,3,"fe","NS","y",1201,16,0.0133222314737719
"830","ledy14",4,3,"fe","NS","y",1201,883,0.735220649458784
"831","ledy55",4,3,"fe","NS","y",1201,950,0.791007493755204
"832","ledy55",4,4,"fe","NS","y",1201,148,0.12323064113239
"833","leon01",1,1,"nf","NS","y",1201,124,0.103247293921732
"834","ledy18",2,1,"nf","NS","y",1201,9,0.00749375520399667
"835","lefe02",2,1,"nf","NS","y",1201,6,0.00499583680266445
"836","lehan03",2,1,"nf","NS","y",1201,6,0.00499583680266445
"837","ledy01",3,1,"nf","NS","y",1201,8,0.00666111573688593
"838","ledy15",3,1,"nf","NS","y",1201,7,0.00582847626977519
"839","ledy16",3,1,"nf","NS","y",1201,77,0.0641132389675271
"840","ledy17",3,1,"nf","NS","y",1201,15,0.0124895920066611
"841","ledy32",3,1,"nf","NS","y",1201,1,0.000832639467110741
